Berne;Corgémont;Curgismondains, Curgismondaines
Fribourg;Corminboeuf;Corminois, Corminoises
Neuchâtel;Cornaux;Corbanetchs
Fribourg;Corpataux-Magnedens;Corpastouriens, Corpastouriennes
Vaud;Correvon;Correvonnais, Correvonnaises
Vaud;Corseaux;Corsalins, Corsalines
Genève;Corsier;Corsiérois, Corsiéroises
Vaud;Corsier-sur-Vevey;Corsiérans, Corsiérannes
Neuchâtel;Cortaillod;Carquoies
Vaud;Cossonay;Traîne-Gourdins
Fribourg;Cottens;Cottensois, Cottensoises
Jura;Courchavon;Baquétrons
Jura;Courfaivre;Mergats
Jura;Courrendlin;Courrengeaux, Courrengelles
Berne;Court;Courtisans, Courtisanes
Fribourg;Courtepin;Courtepinois, Courtepinoises
Jura;Courtételle;Guégelles
Neuchâtel;Couvet;Covassons, Covassonnes
Vaud;Crans-près-Céligny;Corbeaux
Vaud;Crassier;Crassiérans, Crassiéranes
Vaud;Cremin;Creminois, Creminoises
Tessin;Cresciano;Crescianesi
Neuchâtel;Cressier;Cressiacois, Cressiacoises
Fribourg;Cressier;Cressiaquois, Cressiaquoises
Vaud;Crissier;Crissirois, Crissiroises
Vaud;Cuarnens;Cuarnenais, Cuarnenaises
Vaud;Cudrefin;Cudrefinois, Cudrefinoises
Vaud;Cugy;Cugiérans, Cugiéranes
Fribourg;Cugy;Cugycois, Cugycoises
Vaud;Cully;Culliérans, Culliéranes
Vaud;Curtilles;Curteillards, Curteillardes
Vaud;Daillens;Daillenais, Daillenaises
Tessin;Dalpe;Dalpesi
Genève;Dardagny;Dardagnottes
Grisons;Davos;Davosiens, Davosiennes
Saint-Gall;Degersheim;Degersheimer, Degersheimerinnen
Jura;Delémont;Delémontains, Delémontaines
Vaud;Démoret;Démoretois, Démoretoises
Vaud;Denges;Dengereux, Dengereuses
Jura;Develier;Escargots
Saint-Gall;Diepoldsau;Diepoldsauer, Diepoldsauerinnen
Lucerne;Dierikon;Dierikoner, Dierikonerinnen
Vaud;Dizy;Dizyciens, Dizyciennes
Neuchâtel;Dombresson;Bourdons
Fribourg;Domdidier;Diderains, Dideraines
Fribourg;Dompierre;Dompierrois, Dompierroises
Lucerne;Doppleschwand;Doppleschwander, Doppleschwanderinnen
Valais;Dorénaz;Diablerains
Schaffhouse;Dörflingen;Dörflinger, Dörflingerinnen
Zurich;Dübendorf;Dübendorfois, Dübendorfoises
Vaud;Duillier;Duilliérans, Duilliéranes
Zurich;Dürnten;Dürnter, Dürnterinnen
Lucerne;Ebikon;Ebikoner, Ebikonerinnen
Vaud;Echallens;Challensois, Challensoises
Vaud;Echandens;Echandeliers, Echandelières
Vaud;Echichens;Echichanais, Echichanaises
Vaud;Eclépens;Eclépanais, Eclépanaises
Vaud;Ecoteaux;Escotaliens, Escotaliennes
Vaud;Ecublens;Ecublanais, Ecublanaises
Valais;Eggerberg;Eggerberger, Eggerbergerinnen
Saint-Gall;Eggersriet;Eggersrieter, Eggersrieterinnen
Saint-Gall;Eichberg;Eichberger, Eichbergerinnen
Schwytz;Einsiedeln;Einsiedelner, Einsiedelnerinnen
Glaris;Elm;Elmer, Elmerinnen
Obwald;Engelberg;Engelbergeois, Engelbergeoises
Neuchâtel;Enges;Engeois, Engeoises
Neuchâtel;Engollon;Renailles
Lucerne;Entlebuch;Entlebucher, Entlebucherinnen
Vaud;Epalinges;Palinzards, Palinzardes
Fribourg;Ependes;Ependois, Ependoises
Vaud;Epesses;Epessiens, Epessiennes
Valais;Ergisch;Ergischer, Ergischerinnen
Saint-Gall;Ernetschwil;Ernetschwiler, Ernetschwilerinnen
Uri;Erstfeld;Erstfelder, Erstfelderinnen
Saint-Gall;Eschenbach;Eschenbacher, Eschenbacherinnen
Lucerne;Escholzmatt;Escholzmatter, Escholzmatterinnen
Vaud;Essert-sous-Champvent;Essertois, Essertoises
Vaud;Essertes;Essertiens, Essertiennes
Vaud;Essertines-sur-Rolle;Essertinois, Essertinoises
Fribourg;Estavayer-le-Lac;Staviacois, Staviacoises
Vaud;Etoy;Etierruz
Berne;Evilard;Evilardiens, Evilardiennes
Valais;Evionnaz;Evionnards, Evionnardes
Valais;Evolène;Evolénards, Evolénardes
Vaud;Eysins;Eysinois, Eysinoises
Tessin;Faido;Faidesi
Vaud;Faoug;Faougeois, Faougeoises
Vaud;Féchy;Fezzolans, Fezzolanes
Neuchâtel;Fenin-Vilars-Saules;Bons voisins (Fenin), Couennes de lard (Vilars), Fourmis rouges (Saules)
Vaud;Ferlens;Ferlanais, Ferlanaises
Vaud;Ferreyres;Ferreyrois, Ferreyroises
Fribourg;Fétigny;Fétignois, Fétignoises
Schwytz;Feusisberg;Feusisberger, Feusisbergerinnen
Valais;Fiesch;Fiescher, Fiescherinnen
Glaris;Filzbach;Filzbacher, Filzbacherinnen
Saint-Gall;Flawil;Flawiler, Flawilerinnen
Neuchâtel;Fleurier;Fleurisans, Fleurisannes
Uri;Flüelen;Flüeler, Flüelerinnen
Lucerne;Flühli;Flühler, Flühlerinnen
Saint-Gall;Flums;Flumser, Flumserinnen
Neuchâtel;Fontainemelon;Bornicans, Bornicanes
Neuchâtel;Fontaines;Lèchebeurcanes
Jura;Fontenais;Tchais
Vaud;Forel;Forellois, Forelloises
Vaud;Forel-sur-Lucens;Forellois, Forelloises
Vaud;Founex;Founachus, Founachues
Thurgovie;Frauenfeld;Frauenfeldois, Frauenfeldoises
Schwytz;Freienbach;Freienbacher, Freienbacherinnen
Argovie;Freienwil;Freienwiler, Freienwilerinnen
Neuchâtel;Fresens;Guêpes
Fribourg;Fribourg;Fribourgeois, Fribourgeoises
Vaud;Froideville;Cacatchoux
Berne;Frutigen;Frutiger, Frutigerinnen
Valais;Fully;Fullerains, Fulleraines
Schaffhouse;Gächlingen;Gächlinger, Gächlingerinnen
Appenzell Rhodes-Extérieures;Gais;Gaiser, Gaiserinnen
Saint-Gall;Gaiserwald;Gaiserwalder, Gaiserwalderin
Schwytz;Galgenen;Galgener, Galgenerinnen
Saint-Gall;Gams;Gamser, Gamserinnen
Saint-Gall;Ganterschwil;Ganterschwiler, Ganterschwilerinnen
Genève;Genève;Genevois, Genevoises
Genève;Genthod;Gentousiens, Gentousiennes
Schwytz;Gersau;Gersauer, Gersauerinnen
Vaud;Gilly;Gilliérons, Gilliéronnes
Vaud;Gimel;Gimelans, Gimelanes
Vaud;Gingins;Ginginois, Ginginoises
Lucerne;Gisikon;Gisikoner, Gisikonerinnen
Obwald;Giswil;Giswiler, Giswilerinnen
Tessin;Giubiasco;Giubiaschesi
Vaud;Givrins;Givrinois, Givrinoises
Vaud;Gland;Glandois, Glandoises
Glaris;Glaris;Glaronnais, Glaronnaises
Saint-Gall;Goldach;Goldacher, Goldacherinnen
Saint-Gall;Goldingen;Goldingener, Goldingerinnen
Vaud;Gollion;Gollionis
Saint-Gall;Gommiswald;Gommiswalder, Gommiswalderinnen
Appenzell Rhodes-Intérieures;Gonten;Gontener, Gonterinnen
Neuchâtel;Gorgier;Bélins, Bélines
Uri;Göschenen;Göschener, Göschenerinnen
Saint-Gall;Gossau;Gossauer, Gossauerinnen
Saint-Gall;Grabs;Grabser, Grabserinnen
Vaud;Grandcour;Grandcotis, Grandcoties
Vaud;Grandevent;Grandeventois, Grandeventoises
Jura;Grandfontaine;Gueillemetins, Gueillemetines
Vaud;Grandson;Grandsonnois, Grandsonnoises
Berne;Grandval;Gravallons, Gravallonnes
Vaud;Grandvaux;Grandvaliens,Grandvaliennes
Fribourg;Grandvillard;Grandvillardins, Grandvillardines
Vaud;Granges-près-Marnand;Grangeois, Grangeoises
Fribourg;Greng;Grengois, Grengoises
Lucerne;Greppen;Grepper, Grepperinnen
Valais;Grimentz;Grimenzards, Grimenzardes
Valais;Grimisuat;Blecs
Fribourg;Grolley;Grolleysans, Grolleysannes
Valais;Grône;Grônards, Grônardes
Appenzell Rhodes-Extérieures;Grub;Gruber, Gruberinnen
Fribourg;Gruyères;Gruériens, Gruériennes
Vaud;Gryon;Gryonnais, Gryonnaises
Tessin;Gudo;Gudesi
Schaffhouse;Guntmadingen;Guntmadinger, Guntmadingerinnen
Uri;Gurtnellen;Gurtneller, Gurtnellerinnen
Genève;Gy;Gytans, Gytanes
Saint-Gall;Häggenschwil;Häggenschwiler, Häggenschwilerinnen
Schaffhouse;Hallau;Hallauer, Hallauerinnen
Lucerne;Hasle;Hasler, Haslerinnen
Glaris;Haslen;Haslener, Haslerinnen
Fribourg;Haut-Vully;Haut-Vuillerains, Haut-Vuilleraines
Neuchâtel;Hauterive;Altaripiens, Altaripiennes
Fribourg;Hauterive;Altaripiens, Altaripiennes
Appenzell Rhodes-Extérieures;Heiden;Heidener, Heidenerinnen
Schaffhouse;Hemishofen;Hemishofer, Hemishoferinnen
Schaffhouse;Hemmental;Hemmentaler, Hemmentalerinnen
Argovie;Hendschiken;Hendschiker, Hendschikerinnen
Valais;Hérémence;Hérémensards, Hérémensardes
Nidwald;Hergiswil;Hergiswilois, Hergiswiloises
Appenzell Rhodes-Extérieures;Herisau;Herisauer, Herisauerinnen
Genève;Hermance;Hermançois, Hermançoises
Vaud;Hermenches;Hermenchois, Hermenchoises
Schaffhouse;Hofen;Hofener, Hoferinnen
Lucerne;Honau;Honauer, Honauerinnen
Lucerne;Horw;Horwer, Horwerinnen
Uri;Hospental;Hospentaler, Hospentalerinnen
Appenzell Rhodes-Extérieures;Hundwil;Hundwiler, Hundwilerinnen
Zoug;Hünenberg;Hünenberger, Hünenbergerinnen
Valais;Icogne;Icognards, Icognardes
Schwytz;Illgau;Illgauer, Illgauerinnen
Schwytz;Ingenbohl;Ingenbohler, Ingenbohlerinnen
Schwytz;Innerthal;Innerthaler, Innerthalerinnen
Berne;Interlaken;Interlakois, Interlakoises
Tessin;Iragna;Iragnotti
Uri;Isenthal;Isenthaler, Isenthalerinnen
Valais;Isérables;Bedjuis, Bedjuasses
Vaud;Jongny;Jongnyssois, Jongnyssoises
Saint-Gall;Jonschwil;Jonschwiler, Jonschwilerinnen
Vaud;Jouxtens-Mézery;Jouxtanais, Jouxtanaises
Genève;Jussy;Jusserands, Jusserandes
Zurich;Kloten;Klotenois, Klotenoises
Lucerne;Kriens;Kriensois, Kriensoises
Schwytz;Küssnacht;Küssnachter, Küssnachterinnen
Vaud;LAbbaye;Les Bayets
Vaud;LIsle;Islois, Isloises
Neuchâtel;La Brévine;Bréviniers, Brévinières
Neuchâtel;La Chaux-de-Fonds;Chaux-de-Fonniers, Chaux-de-Fonnières
Neuchâtel;La Chaux-du-Milieu;Chauliers, Chaulières
Neuchâtel;La Côte-aux-Fées;Niquelets
Berne;La Neuveville;Neuvevillois, Neuvevilloises
Vaud;La Praz;Pratoux
Vaud;La Rippe;Rippérans, Rippéranes
Fribourg;La Roche;Rochois, Rochoises
Neuchâtel;La Sagne;Sagnards, Sagnardes
Vaud;La Sarraz;Sarrazins, Sarrazines
Vaud;La Tour-de-Peilz;Boélands, Boélandes
Schwytz;Lachen;Lachener, Lachenerinnen
Genève;Laconnex;Laconnésiens, Laconnésiennes
Jura;Lajoux;Djoulais, Djoulaises
Genève;Lancy;Lancéens, Lancéennes
Schwytz;Lauerz;Lauerzer, Lauerzerinnen
Vaud;Lausanne;Lausannois, Lausannoises
Vaud;Lavigny;Lavinois, Lavinoises
Neuchâtel;Le Cerneux-Péquignot;Cerneuniers, Cerneunières
Genève;Le Grand-Saconnex;Saconnésiens, Saconnésiennes
Neuchâtel;Le Landeron;Landeronnais, Landeronnaises
Vaud;Le Lieu;Ecovafieux
Neuchâtel;Le Locle;Loclois, Locloises
Vaud;Le Mont-sur-Lausanne;Montains, Montaines
Fribourg;Le Mouret;Murtenois, Murtenoises
Neuchâtel;Le Pâquier;Corbées
Vaud;Le Vaud;Vaulis, Vaulies
Valais;Lens;Lensards, Lensardes
Neuchâtel;Les Bayards;Bayardins, Bayardines
Jura;Les Bois;Rudisylvains, Rudisylvaines
Neuchâtel;Les Brenets;Brenassiers, Brenassières
Jura;Les Breuleux;Breulotiers, Breulotières
Vaud;Les Cullayes;Cullatis
Neuchâtel;Les Geneveys-sur-Coffrane;Girafes
Neuchâtel;Les Hauts-Geneveys;Geneveysans, Geneveysanes
Neuchâtel;Les Planchettes;Planchottiers, Planchottières
Neuchâtel;Les Ponts-de-Martel;Ponliers, Ponlières
Vaud;Les Thioleyres;Thiolérus
Neuchâtel;Les Verrières;Verrisans, Verrisannes
Vaud;Leysin;Leysenouds, Leysenoudes
Valais;Leytron;Leytronains, Leytronintzes
Valais;Liddes;Lidderains, Lidderaines
Bâle-Campagne;Liestal;Liestaliens, Liestaliennes
Vaud;Lignerolle;Lignerollois, Lignerolloises
Neuchâtel;Lignières;Lignièrois, Lignièroises
Tessin;Ligornetto;Ligornettesi
Glaris;Linthal;Linthaler, Linthalerinnen
Tessin;Locarno;Locarnais, Locarnaises
Tessin;Lodrino;Lodrinesi
Valais;Loèche-les-Bains;Loéchois, Loéchoises
Schaffhouse;Lohn;Löhne
Schaffhouse;Löhningen;Löhninger, Löhningerinnen
Vaud;Lonay;Lonaysans, Lonaysannes
Vaud;Longirod;Longerois, Longeroises
Vaud;Lucens;Lucensois, Lucensoises
Lucerne;Lucerne;Lucernois, Lucernoises
Glaris;Luchsingen;Luchsinger, Luchsingerinnen
Tessin;Lugano;Luganais, Luganaises
Vaud;Luins;Luinois, Luinoises
Vaud;Lully;Lulliérans, Lulliéranes
Obwald;Lungern;Lunger, Lungerinnen
Vaud;Lussy-sur-Morges;Lucifers
Vaud;Lutry;Lutryens, Lutryennes
Appenzell Rhodes-Extérieures;Lutzenberg;Lutzenberger, Lutzenbergerinnen
Berne;Lyss;Lyssois, Lyssoises
Tessin;Maggia;Maggesi
Grisons;Maienfeld;Maienfelder, Maienfelderinnen
Tessin;Malvaglia;Malvagliesi
Vaud;Maracon;Maraconais, Maraconaises
Lucerne;Marbach;Marbacher, Marbacherinnen
Vaud;Marchissy;Martiolans, Martiolanes
Neuchâtel;Marin-Epagnier;Marinois, Marinoises
Fribourg;Marly;Marlinois, Marlinoises
Vaud;Martherenges;Martherengeois, Martherengeoises
Valais;Martigny;Octoduriens, Octoduriennes
Valais;Martigny-Combe;Comberains, Comberintzes
Valais;Massongex;Massongérouds, Massongéroudes
Vaud;Mathod;Mathoulons, Mathoulonnes
Fribourg;Matran;Matranais, Matranaises
Glaris;Matt;Matter, Matterinnen
Vaud;Mauraz;Mauraziens, Mauraziennes
Lucerne;Meggen;Megger, Meggerinnen
Genève;Meinier;Meynites
Tessin;Mendrisio;Mendrisiensi
Fribourg;Ménières;Ménièrois, Ménièroises
Zoug;Menzingen;Menzinger, Menzingerinnen
